"RNumber","EName","Grade","Phone_Num","Homepage","Price","Locatin","Category"
"0","Gaon","1","02-545-9845~6","www.gaonkr.com","Dinner set 220,000 ~ 290,000 (Won)","Gangnam-gu","Korean"
"1","Gaeseong Mandu Koong","4","02-733-9240","www.koong.co.kr","Lunch à la carte 10,000 ~ 33,000 (Won)Lunch set 13,000 ~ 17,000 (Won)","Jongno-gu","Mandu"
"2","Gebang Sikdang","5","010-8479-1107","gebangsikdang.modoo.at","Lunch à la carte 8,000 ~ 34,000 (Won)Dinner à la carte 8,000 ~ 34,000 (Won)","Gangnam-gu","Gejang"
"3","Korea Samgye-tang","5","02-752-9376","www.krsamgyetang.com","Lunch à la carte 15,000 ~ 33,000 (Won)","Jung-gu","Samgye-tang"
"4","Gourmet Tree","5","02-2299-0572","www.gourmettree.co.kr","Lunch à la carte 34,000 ~ 72,000 (Won)Dinner à la carte 50,000 ~ 88,000 (Won)Dinner set 70,000 (Won)","Seongdong-gu","French"
"5","Gom Ba Wie","5","02-511-0068","www.gbw.co.kr","Lunch à la carte 6,000 ~ 77,000 (Won)Dinner à la carte 8,000 ~ 77,000 (Won)","Gangnam-gu","Barbecue"
"6","Gotgan","2","02-2055-4445","gotgan.modoo.at","Lunch set 150,000 ~ 300,000 (Won)Dinner set 150,000 ~ 300,000 (Won)","Yeongdeungpo-gu","Korean"
"7","Kyodaiya","4","02-2654-2645","","Lunch à la carte 7,000 ~ 13,000 (Won)Dinner à la carte 7,000 ~ 13,000 (Won)","Mapo-gu","Udon"
"8","Goobok Mandu","4","02-797-8656","goobokmandoo.modoo.at","Lunch à la carte 5,000 ~ 10,000 (Won)","Yongsan-gu","Mandu"
"9","Kwon Sook Soo","2","02-542-6268","www.kwonsooksoo.com","Lunch set 60,000 ~ 100,000 (Won)Dinner set 135,000 ~ 180,000 (Won)","Gangnam-gu","Korean"
"10","Comme Moa","5","02-6217-5252","","Lunch à la carte 18,000 ~ 29,000 (Won)Dinner à la carte 45,000 ~ 97,000 (Won)","Yongsan-gu","French"
"11","A Flower Blossom on the Rice","4","02-732-0276","kottbob.modoo.at","Lunch à la carte 7,500 ~ 19,000 (Won)Dinner à la carte 9,000 ~ 39,000 (Won)Lunch set 25,000 ~ 55,000 (Won)Dinner set 29,000 ~ 55,000 (Won)","Jongno-gu","Korean"
