RNumber,EName,Grade,Phone_Num,Homepage,Price
0,Gaon,1,02-545-9845~6,www.gaonkr.com,170000
1,Gaeseong Mandu Koong,4,02-733-9240,www.koong.co.kr,15000
2,Gebang Sikdang,5,010-8479-1107,gebangsikdang.modoo.at,17000
3,Korea Samgye-tang,5,02-752-9376,www.krsamgyetang.com,16000
4,Gourmet Tree,5,02-2299-0572,www.gourmettree.co.kr,52000
5,Gom Ba Wie,5,02-511-0068,www.gbw.co.kr,34000
6,Gotgan,2,02-2055-4445,gotgan.modoo.at,180000
7,Kyodaiya,4,02-2654-2645,,8000
8,Goobok Mandu,4,02-797-8656,goobokmandoo.modoo.at,5000
9,Kwon Sook Soo,2,02-542-6268,www.kwonsooksoo.com,95000
10,Comme Moa,5,02-6217-5252,,38000
11,A Flower Blossom on the Rice,4,02-732-0276,kottbob.modoo.at,27000
12,Kkotji,5,02-561-8788,kkotji.modoo.at,34000
13,Nampo Myeonok,4,02-777-3131,,30000
14,Neung Ra Do,4,02-569-8939,neungrado.modoo.at,37000
15,Dadam,5,02-518-6161,www.thedadam.com,66000
16,Dining in Space,3,02-747-8105,,60000
17,Dal Siktak,5,02-511-9440,dalsiktak.modoo.at,43000
18,Daesungjip,4,02-735-4259,daesungjip.modoo.at,11000
19,The Green Table,5,02-591-2672,www.thegreentable.co.kr,41000
20,Toh Lim,5,02-317-7101,www.lottehotel.com/seoul,166000
21,Dosa,3,02-516-3672,www.dosaseoul.com,64000
22,Doughroom,5,02-535-9386,www.soignerestaurantgroup.com,70000
23,Dugahun,5,02-3210-2100,www.dugahun.com,72000
24,Dooreyoo,5,02-743-2468,www.dooreyoo.com,88000
25,Terreno,5,02-332-5525,www.terreno.co.kr,71000
26,Tutto Bene,5,02-546-1489,,54000
27,La Morra,5,02-595-3997,lamorra.modoo.at/,84000
28,La Cucina,5,02-794-6005,www.la-cucina.co.kr,75000
29,L’Amitié,3,02-546-9621,lamitie.modoo.at/,68000
30,La Yeon,1,02-2230-3367,www.shillahotels.com,138000
31,L’impasse81,5,070-7779-8181,limpasse81.modoo.at/,34000
32,L’Enfance,5,02-465-7117,www.lenfance.net,36000
33,L’Espoir du Hibou,5,02-517-6034,,83000
34,Louis Cinq,5,02-547-1259,louiscinq.modoo.at,50000
35,Ryunique,5,02-546-9279,www.ryunique.co.kr,117000
36,Le cochon,5,02-6032-1300,www.lecochon.co.kr,103000
