"RNumber","KName","Grade","Phone_Num","Homepage","Price","Locatin","Category"
"0","가온",1,"02-545-9845~6","www.gaonkr.com","저녁 세트 220,000 ~ 290,000 (원)","강남구","한식"
"1","개성만두 궁",4,"02-733-9240","www.koong.co.kr","점심 단품 10,000 ~ 33,000 (원)점심 세트 13,000 ~ 17,000 (원)","종로구","만두"
"2","게방 식당",5,"010-8479-1107","gebangsikdang.modoo.at","점심 단품 8,000 ~ 34,000 (원)저녁 단품 8,000 ~ 34,000 (원)","강남구","게장"
"3","고려 삼계탕",5,"02-752-9376","www.krsamgyetang.com","점심 단품 15,000 ~ 33,000 (원)","중구","삼계탕"
"4","고메트리",5,"02-2299-0572","www.gourmettree.co.kr","점심 단품 34,000 ~ 72,000 (원)저녁 단품 50,000 ~ 88,000 (원)저녁 세트 70,000 (원)","성동구","프렌치"
"5","곰바위",5,"02-511-0068","www.gbw.co.kr","점심 단품 6,000 ~ 77,000 (원)저녁 단품 8,000 ~ 77,000 (원)","강남구","바비큐"
"6","곳간",2,"02-2055-4445","gotgan.modoo.at","점심 세트 150,000 ~ 300,000 (원)저녁 세트 150,000 ~ 300,000 (원)","영등포구","한식"
"7","교다이야",4,"02-2654-2645","","점심 단품 7,000 ~ 13,000 (원)저녁 단품 7,000 ~ 13,000 (원)","마포구","우동"
"8","구복만두",4,"02-797-8656","goobokmandoo.modoo.at","점심 단품 5,000 ~ 10,000 (원)","용산구","만두"
"9","권숙수",2,"02-542-6268","www.kwonsooksoo.com","점심 세트 60,000 ~ 100,000 (원)저녁 세트 135,000 ~ 180,000 (원)","강남구","한식"
"10","꼼 모아",5,"02-6217-5252","","점심 단품 18,000 ~ 29,000 (원)저녁 단품 45,000 ~ 97,000 (원)","용산구","프렌치"
"11","꽃, 밥에피다",4,"02-732-0276","kottbob.modoo.at","점심 단품 7,500 ~ 19,000 (원)저녁 단품 9,000 ~ 39,000 (원)점심 세트 25,000 ~ 55,000 (원)저녁 세트 29,000 ~ 55,000 (원)","종로구","한식"
"12","꽃지",5,"02-561-8788","kkotji.modoo.at","점심 단품 9,000 ~ 75,000 (원)저녁 단품 9,000 ~ 75,000 (원)","강남구","게장"
"13","남포면옥",4,"02-777-3131","","점심 단품 11,000 ~ 80,000 (원)","중구","냉면"
"14","능라도",4,"02-569-8939","neungrado.modoo.at","점심 단품 11,000 ~ 100,000 (원)","강남구","냉면"
"15","다담",5,"02-518-6161","www.thedadam.com","점심 단품 25,000 ~ 65,000 (원)저녁 단품 25,000 ~ 65,000 (원)점심 세트 40,000 ~ 150,000 (원)저녁 세트 70,000 ~ 150,000 (원)","강남구","한식"
"16","다이닝 인 스페이스",0,"02-747-8105","","점심 세트 60,000 (원)저녁 세트 120,000 (원)","종로구","프렌치 컨템포러리"
"17","달 식탁",5,"02-511-9440","dalsiktak.modoo.at","점심 단품 9,000 ~ 55,500 (원)저녁 단품 10,000 ~ 55,500 (원)점심 세트 36,000 ~ 86,000 (원)저녁 세트 48,000 ~ 86,000 (원)","강남구","한식"
"18","대성집",4,"02-735-4259","daesungjip.modoo.at","점심 단품 10,000 ~ 22,000 (원)","종로구","도가니탕"
"19","더 그린테이블",5,"02-591-2672","www.thegreentable.co.kr","점심 세트 38,000 (원)저녁 세트 85,000 (원)","강남구","프렌치 컨템포러리"
"20","도림",5,"02-317-7101","www.lottehotel.com/seoul","점심 단품 42,000 ~ 300,000 (원)저녁 단품 42,000 ~ 300,000 (원)점심 세트 90,000 ~ 180,000 (원)저녁 세트 138,000 ~ 400,000 (원)","중구","중식"
"21","도사",0,"02-516-3672","www.dosaseoul.com","점심 세트 50,000 ~ 70,000 (원)저녁 세트 80,000 ~ 120,000 (원)","강남구","이노베이티브"
"22","도우룸",5,"02-535-9386","www.soignerestaurantgroup.com","점심 단품 40,000 ~ 134,000 (원)저녁 단품 40,000 ~ 134,000 (원)","서초구","이탈리안 컨템포러리"
"23","두가헌",5,"02-3210-2100","www.dugahun.com","저녁 단품 80,000 ~ 102,000 (원)점심 세트 39,000 ~ 66,000 (원)저녁 세트 99,000 ~ 119,000 (원)","종로구","이탈리안"
"24","두레유",5,"02-743-2468","www.dooreyoo.com","점심 세트 25,000 ~ 110,000 (원)저녁 세트 55,000 ~ 250,000 (원)","종로구","한식"
"25","떼레노",5,"02-332-5525","www.terreno.co.kr","점심 단품 44,000 ~ 132,000 (원)저녁 단품 44,000 ~ 132,000 (원)점심 세트 40,000 ~ 60,000 (원)저녁 세트 75,000 ~ 110,000 (원)","종로구","스페니쉬"
"26","뚜또 베네",5,"02-546-1489","","점심 단품 49,000 ~ 86,000 (원)저녁 단품 49,000 ~ 86,000 (원)","강남구","이탈리안"
"27","라 모라",5,"02-595-3997","lamorra.modoo.at/","점심 단품 62,000 ~ 148,000 (원)저녁 단품 62,000 ~ 148,000 (원)","서초구","이탈리안"
"28","라 쿠치나",5,"02-794-6005","www.la-cucina.co.kr","점심 단품 48,000 ~ 138,000 (원)저녁 단품 48,000 ~ 138,000 (원)점심 세트 30,000 ~ 55,000 (원)저녁 세트 95,000 ~ 120,000 (원)","용산구","이탈리안"
"29","라미띠에",0,"02-546-9621","lamitie.modoo.at/","점심 세트 55,000 (원)저녁 세트 150,000 (원)","강남구","프렌치"
