RNumber,KName,Grade,Phone_Num,Homepage,Price
0,가온,1,02-545-9845~6,www.gaonkr.com,170000
1,개성만두 궁,4,02-733-9240,www.koong.co.kr,15000
2,게방 식당,5,010-8479-1107,gebangsikdang.modoo.at,17000
3,고려 삼계탕,5,02-752-9376,www.krsamgyetang.com,16000
4,고메트리,5,02-2299-0572,www.gourmettree.co.kr,52000
5,곰바위,5,02-511-0068,www.gbw.co.kr,34000
6,곳간,2,02-2055-4445,gotgan.modoo.at,180000
7,교다이야,4,02-2654-2645,,8000
8,구복만두,4,02-797-8656,goobokmandoo.modoo.at,5000
9,권숙수,2,02-542-6268,www.kwonsooksoo.com,95000
10,꼼 모아,5,02-6217-5252,,38000
11,꽃 밥에피다,4,02-732-0276,kottbob.modoo.at,27000
12,꽃지,5,02-561-8788,kkotji.modoo.at,34000
13,남포면옥,4,02-777-3131,,30000
14,능라도,4,02-569-8939,neungrado.modoo.at,37000
15,다담,5,02-518-6161,www.thedadam.com,66000
16,다이닝 인 스페이스,4,02-747-8105,,60000
17,달 식탁,5,02-511-9440,dalsiktak.modoo.at,43000
18,대성집,4,02-735-4259,daesungjip.modoo.at,11000
19,더 그린테이블,5,02-591-2672,www.thegreentable.co.kr,41000
20,도림,5,02-317-7101,www.lottehotel.com/seoul,166000
21,도사,4,02-516-3672,www.dosaseoul.com,64000
22,도우룸,5,02-535-9386,www.soignerestaurantgroup.com,70000
23,두가헌,5,02-3210-2100,www.dugahun.com,72000
24,두레유,5,02-743-2468,www.dooreyoo.com,88000
25,떼레노,5,02-332-5525,www.terreno.co.kr,71000
26,뚜또 베네,5,02-546-1489,,54000
27,라 모라,5,02-595-3997,lamorra.modoo.at/,84000
28,라 쿠치나,5,02-794-6005,www.la-cucina.co.kr,75000
29,라미띠에,4,02-546-9621,lamitie.modoo.at/,68000
30,라연,1,02-2230-3367,www.shillahotels.com,138000
31,랑빠스 81,5,070-7779-8181,limpasse81.modoo.at/,34000
32,렁팡스,5,02-465-7117,www.lenfance.net,36000
33,레스쁘아 뒤 이부,5,02-517-6034,,83000
34,루이 쌍끄,5,02-547-1259,louiscinq.modoo.at,50000
35,류니끄,5,02-546-9279,www.ryunique.co.kr,117000
36,르 꼬숑,5,02-6032-1300,www.lecochon.co.kr,103000
37,리스토란테 에오,4,02-3445-1926,www.ristoranteeo.com,67000
38,마누 테라스,5,02-543-9020,www.manuterrace.com,54000
39,마포 양지 설렁탕,5,02-716-8616,mapoyangji.modoo.at/,18000
40,마포옥,4,02-716-6661,www.mapook.com,21000
41,만두집,4,02-544-3710,mandoojip.modoo.at,21000
42,만족 오향 족발,4,02-753-4755,www.manjok.net,29000
43,메종 드 라 카테고리,5,02-545-6640,,61000
44,명동 교자,4,02-776-5348,www.mdkj.co.kr,9000
45,모모야마,5,02-317-7031,www.lottehotel.com/seoul,169000
46,목멱산방,5,02-318-4790,www.mmmroom.com,12000
47,목천집 (앵콜칼국수),4,02-525-8418,,15000
48,무궁화,5,02-317-7061,www.lottehotel.com/seoul,91000
49,미나미,4,02-522-0373,,18000
50,미미면가,5,070-4211-5466,mimimyunga.modoo.at/,20000
51,미쉬 매쉬,4,02-6465-2211,www.mishmashkorea.com,37000
52,미진,4,02-732-1954,mijin1954.modoo.at/,8000
53,미코,5,02-3446-1227,,62000
54,민스 키친,5,02-544-1007,www.minskitchen.kr,50000
55,밀본,4,02-499-9801,mealbon.modoo.at/,7000
56,밍글스,4,02-515-7306,www.restaurant-mingles.com,70000
57,발우공양,4,02-733-2081,www.balwoo.or.kr,53000
58,백년 토종 삼계탕,5,02-747-5535,100samgyetang.modoo.at,20000
59,백년옥,4,02-523-2860,baengnyeonok.modoo.at,15000
60,백리향,5,02-789-5741,www.63restaurant.co.kr,156000
61,뱀부 하우스,5,02-566-0870,bamboohouse95.modoo.at,92000
62,버드나무 집,5,02-3473-4167,budnamujip.modoo.at,31000
63,벽제갈비,5,02-415-5522,www.bjgalbi.com,51000
64,보나세라,5,02-543-6668,www.buonasera.co.kr,75000
65,보름쇠,5,02-569-9967,boreumsoei.modoo.at,33000
66,보칼리노,5,02-6388-5500,www.fourseasons.com/seoul,111000
67,보트르 메종,4,02-549-3800,votremasion.modoo.at,57000
68,볼트 스테이크하우스,5,02-544-9235,vaultsteakhouse.co.kr,70000
69,볼피노,5,010-2249-1571,,60000
70,봉밀가,5,02-546-2305,,18000
71,봉피양,4,02-415-5527,www.bjgalbi.com,24000
72,부띠끄 블루밍,5,02-518-1972,www.dinehill.co.kr,67000
73,부촌육회,4,02-2267-1831,bcyukhoe.modoo.at,12000
74,북막골,4,02-730-0980,www.7300980.com,23000
75,브레라,5,02-2236-0770,www.brera.kr,26000
76,비스트로 드 욘트빌,5,02-541-1550,,72000
77,비채나,4,02-3213-1260~1,www.bicena.com,103000
78,삼원가든,5,02-548-3030,www.samwongarden.com,52000
79,삼청동 수제비,4,02-735-2965,samcheongsujeb.modoo.at,8000
80,서울 다이닝,5,02-6325-6321,www.seoul-dining.com,42000
81,서촌김씨,5,02-730-7787,seochon2016.modoo.at,58000
82,석파랑,5,02-395-2500,www.seokparang.co.kr,83000
83,수아에피스,5,02-548-2191,,13000
84,스바루,4,02-596-4882,thesubaru.modoo.at,13000
85,스시  선수,5,02-514-0812,sushisunsoo.modoo.at,102000
86,스시 무라카미,5,02-794-7888,www.sushimurakami.com,186000
87,스시 초희,5,02-545-8422,sushichohi.modoo.at,93000
