"RNumber","Location_Kor","Location_Eng"
"0","강남구","Gangnam-gu"
"1","종로구","Jongno-gu"
"2","강남구","Gangnam-gu"
"3","중구","Jung-gu"
"4","성동구","Seongdong-gu"
"5","강남구","Gangnam-gu"
"6","영등포구","Yeongdeungpo-gu"
"7","마포구","Mapo-gu"
"8","용산구","Yongsan-gu"
"9","강남구","Gangnam-gu"
"10","용산구","Yongsan-gu"
"11","종로구","Jongno-gu"
"12","강남구","Gangnam-gu"
"13","중구","Jung-gu"
"14","강남구","Gangnam-gu"
"15","강남구","Gangnam-gu"
"16","종로구","Jongno-gu"
"17","강남구","Gangnam-gu"
"18","종로구","Jongno-gu"
"19","강남구","Gangnam-gu"
"20","중구","Jung-gu"
"21","강남구","Gangnam-gu"
"22","서초구","Seocho-gu"
"23","종로구","Jongno-gu"
"24","종로구","Jongno-gu"
"25","종로구","Jongno-gu"
"26","강남구","Gangnam-gu"
"27","서초구","Seocho-gu"
"28","용산구","Yongsan-gu"
"29","강남구","Gangnam-gu"
"30","중구",""
"31","마포구","Mapo-gu"
"32","성동구","Seongdong-gu"
"33","강남구","Gangnam-gu"
"34","강남구","Gangnam-gu"
"35","강남구","Gangnam-gu"
"36","종로구","Jongno-gu"
"37","강남구","Gangnam-gu"
"38","강남구","Gangnam-gu"
"39","마포구","Mapo-gu"
"40","마포구","Mapo-gu"
"41","강남구","Gangnam-gu"
"42","중구","Jung-gu"
"43","강남구","Gangnam-gu"
"44","중구","Jung-gu"
"45","중구","Jung-gu"
"46","중구","Jung-gu"
"47","서초구","Seocho-gu"
"48","중구","Jung-gu"
"49","서초구","Seocho-gu"
"50","강남구","Gangnam-gu"
"51","용산구","Yongsan-gu"
"52","종로구","Jongno-gu"
"53","강남구","Gangnam-gu"
"54","강남구","Gangnam-gu"
"55","성동구","Seongdong-gu"
"56","강남구","Gangnam-gu"
"57","종로구","Jongno-gu"
"58","종로구","Jongno-gu"
"59","서초구",""
"60","영등포구","Yeongdeungpo-gu"
"61","강남구","Gangnam-gu"
"62","서울시","Seocho-gu"
"63","송파구","Songpa-gu"
"64","강남구","Gangnam-gu"
"65","강남구","Gangnam-gu"
"66","종로구","Jongno-gu"
"67","강남구","Gangnam-gu"
"68","강남구","Gangnam-gu"
"69","강남구",""
"70","강남구","Gangnam-gu"
"71","송파구","Songpa-gu"
"72","강남구","Gangnam-gu"
"73","종로구","Jongno-gu"
"74","종로구","Jongno-gu"
"75","중구","Jung-gu"
"76","강남구","Gangnam-gu"
"77","송파구","Songpa-gu"
"78","강남구","Gangnam-gu"
"79","종로구","Jongno-gu"
"80","중구","Jung-gu"
"81","종로구","Jongno-gu"
"82","종로구","Jongno-gu"
"83","강남구","Gangnam-gu"
"84","서초구","Seocho-gu"
"85","강남구","Gangnam-gu"
"86","용산구","Yongsan-gu"
"87","강남구","Gangnam-gu"
"88","서초구","Seocho-gu"
"89","중구","Jung-gu"
"90","강남구","Gangnam-gu"
"91","서초구","Seocho-gu"
"92","송파구","Songpa-gu"
"93","용산구","Yongsan-gu"
"94","중구","Jung-gu"
"95","용산구","Yongsan-gu"
"96","강남구","Gangnam-gu"
"97","서초구","Seocho-gu"
"98","종로구","Jogno-gu"
"99","마포구","Mapo-gu"
"100","강남구","Gangnam-gu"
"101","용산구","Yongsan-gu"
"102","용산구","Yongsan-gu"
"103","중구","Jung-gu"
"104","강남구","Gangnam-gu"
"105","서초구","Seocho-gu"
"106","마포구","Mapo-gu"
"107","광진구","Gwangjin-gu"
"108","강남구","Gangnam-gu"
"109","강남구","Gangnam-gu"
"110","종로구","Jongno-gu"
"111","종로구","Jongno-gu"
"112","강남구","Gangnam-gu"
"113","중구","Jung-gu"
"114","강남구","Gangnam-gu"
"115","용산구","Yongsan-gu"
"116","서초구","Seocho-gu"
"117","종로구","Jongno-gu"
"118","중구","Jung-gu"
"119","영등포구","Yeongdeungpo-gu"
"120","종로구","Jongno-gu"
"121","강남구","Gangnam-gu"
"122","마포구","Mapo-gu"
"123","종로구","Jongno-gu"
"124","강남구","Gangnam-gu"
"125","용산구","Yongsan-gu"
"126","서초구","Seocho-gu"
"127","종로구","Jongno-gu"
"128","강남구","Gangnam-gu"
"129","영등포구","Yeongdeungpo-gu"
"130","서초구","Seocho-gu"
"131","종로구","Jongno-gu"
"132","강남구","Gangnam-gu"
"133","서초구","Seocho-gu"
"134","강남구","Gangnam-gu"
"135","마포구","Mapo-gu"
"136","마포구","Mapo-gu"
"137","종로구","Jongno-gu"
"138","강남구","Gangnam-gu"
"139","강남구","Gangnam-gu"
"140","중구","Jung-gu"
"141","서대문구","Seodaemun-gu"
"142","용산구","Yongsan-gu"
"143","강남구","Gangnam-gu"
"144","중구",""
"145","중구","Jung-gu"
"146","종로구","Jongno-gu"
"147","서초구","Seocho-gu"
"148","용산구","Yongsan-gu"
"149","강남구","Gangnam-gu"
"150","서초구","Seocho-gu"
"151","강남구","Gangnam-gu"
"152","마포구","Mapo-gu"
"153","마포구","Mapo-gu"
"154","강남구","Gangnam-gu"
"155","강남구","Gangnam-gu"
"156","중구","Jung-gu"
"157","용산구","Yongsna-gu"
"158","서초구","Seocho-gu"
"159","강남구","Gangnam-gu"
"160","강남구","Gangnam-gu"
"161","중구","Jung-gu"
"162","중구","Jung-gu"
"163","강남구","Gangnam-gu"
"164","강남구","Gangnam-gu"
"165","강남구","Gangnam-gu"
"166","종로구","Jongno-gu"
"167","성동구","Seongdong-gu"
"168","중구","Jung-gu"
"169","중구","Jung-gu"
"170","영등포구","Yeongdeungpo-gu"
"171","마포구","Mapo-gu"
"172","종로구","Jongno-gu"
